,map_name,player_name,team_name,hero_name
48476,Watchpoint: Gibraltar,AlphaYi,Hangzhou Spark,Genji
48497,Watchpoint: Gibraltar,AlphaYi,Hangzhou Spark,Symmetra
48524,Watchpoint: Gibraltar,Guxue,Hangzhou Spark,Winston
48562,Watchpoint: Gibraltar,Superich,Hangzhou Spark,Brigitte
48597,Watchpoint: Gibraltar,irony,Hangzhou Spark,Ana
48647,Watchpoint: Gibraltar,shy,Hangzhou Spark,Ashe
48677,Watchpoint: Gibraltar,shy,Hangzhou Spark,Widowmaker
48701,Watchpoint: Gibraltar,Fate,Shanghai Dragons,Winston
48738,Watchpoint: Gibraltar,IZaYaKI,Shanghai Dragons,Ana
48770,Watchpoint: Gibraltar,LIP,Shanghai Dragons,Tracer
48788,Watchpoint: Gibraltar,LIP,Shanghai Dragons,Widowmaker
48822,Watchpoint: Gibraltar,LeeJaeGon,Shanghai Dragons,Brigitte
48857,Watchpoint: Gibraltar,WhoRu,Shanghai Dragons,Genji
48898,Eichenwalde,AlphaYi,Hangzhou Spark,Echo
48926,Eichenwalde,AlphaYi,Hangzhou Spark,Reaper
48961,Eichenwalde,BERNAR,Hangzhou Spark,D.Va
48982,Eichenwalde,BERNAR,Hangzhou Spark,Zarya
49014,Eichenwalde,Superich,Hangzhou Spark,Brigitte
49018,Eichenwalde,Superich,Hangzhou Spark,Lucio
49045,Eichenwalde,Superich,Hangzhou Spark,Mercy
49080,Eichenwalde,irony,Hangzhou Spark,Ana
49119,Eichenwalde,shy,Hangzhou Spark,Ashe
49139,Eichenwalde,shy,Hangzhou Spark,Soldier: 76
49161,Eichenwalde,Fate,Shanghai Dragons,Winston
49200,Eichenwalde,IZaYaKI,Shanghai Dragons,Ana
49242,Eichenwalde,LIP,Shanghai Dragons,Soldier: 76
49263,Eichenwalde,LIP,Shanghai Dragons,Widowmaker
49284,Eichenwalde,LeeJaeGon,Shanghai Dragons,Lucio
49327,Eichenwalde,WhoRu,Shanghai Dragons,Genji
49342,Eichenwalde,WhoRu,Shanghai Dragons,Tracer
49385,Lijiang Tower,AlphaYi,Hangzhou Spark,Echo
49393,Lijiang Tower,AlphaYi,Hangzhou Spark,Genji
49413,Lijiang Tower,AlphaYi,Hangzhou Spark,Pharah
49434,Lijiang Tower,AlphaYi,Hangzhou Spark,Reaper
49466,Lijiang Tower,BERNAR,Hangzhou Spark,D.Va
49490,Lijiang Tower,BERNAR,Hangzhou Spark,Zarya
49525,Lijiang Tower,Superich,Hangzhou Spark,Lucio
49547,Lijiang Tower,Superich,Hangzhou Spark,Mercy
49574,Lijiang Tower,irony,Hangzhou Spark,Ana
49619,Lijiang Tower,shy,Hangzhou Spark,Reaper
49638,Lijiang Tower,shy,Hangzhou Spark,Soldier: 76
49656,Lijiang Tower,shy,Hangzhou Spark,Symmetra
49663,Lijiang Tower,shy,Hangzhou Spark,Widowmaker
49684,Lijiang Tower,Fate,Shanghai Dragons,Reinhardt
49698,Lijiang Tower,Fate,Shanghai Dragons,Winston
49739,Lijiang Tower,IZaYaKI,Shanghai Dragons,Ana
49775,Lijiang Tower,LIP,Shanghai Dragons,Reaper
49790,Lijiang Tower,LIP,Shanghai Dragons,Soldier: 76
49811,Lijiang Tower,LIP,Shanghai Dragons,Symmetra
49816,Lijiang Tower,LIP,Shanghai Dragons,Tracer
49843,Lijiang Tower,LeeJaeGon,Shanghai Dragons,Lucio
49883,Lijiang Tower,WhoRu,Shanghai Dragons,Genji
49902,Lijiang Tower,WhoRu,Shanghai Dragons,Mei
49928,New Queen Street,AlphaYi,Hangzhou Spark,Reaper
49948,New Queen Street,AlphaYi,Hangzhou Spark,Tracer
49986,New Queen Street,BERNAR,Hangzhou Spark,Zarya
50018,New Queen Street,Superich,Hangzhou Spark,Lucio
50049,New Queen Street,irony,Hangzhou Spark,Ana
50076,New Queen Street,shy,Hangzhou Spark,Soldier: 76
50108,New Queen Street,Fleta,Shanghai Dragons,Reaper
50140,New Queen Street,IZaYaKI,Shanghai Dragons,Ana
50183,New Queen Street,LIP,Shanghai Dragons,Soldier: 76
50204,New Queen Street,LeeJaeGon,Shanghai Dragons,Lucio
50245,New Queen Street,Void,Shanghai Dragons,Zarya
50284,Colosseo,Becky,Los Angeles Valiant,Reaper
50317,Colosseo,ColdesT,Los Angeles Valiant,Ana
50354,Colosseo,Diya,Los Angeles Valiant,Soldier: 76
50388,Colosseo,Lengsa,Los Angeles Valiant,Lucio
50422,Colosseo,SASIN,Los Angeles Valiant,Zarya
50461,Colosseo,Creative,Seoul Dynasty,Ana
50497,Colosseo,Fits,Seoul Dynasty,Soldier: 76
50523,Colosseo,Profit,Seoul Dynasty,Reaper
50554,Colosseo,Vindaim,Seoul Dynasty,Lucio
50599,Colosseo,smurf,Seoul Dynasty,Zarya
50629,Circuit royal,Becky,Los Angeles Valiant,Echo
50653,Circuit royal,Becky,Los Angeles Valiant,Genji
50691,Circuit royal,ColdesT,Los Angeles Valiant,Ana
50712,Circuit royal,ColdesT,Los Angeles Valiant,Lucio
50721,Circuit royal,ColdesT,Los Angeles Valiant,Zenyatta
50749,Circuit royal,Diya,Los Angeles Valiant,Hanzo
50754,Circuit royal,Diya,Los Angeles Valiant,Widowmaker
50796,Circuit royal,Lengsa,Los Angeles Valiant,Baptiste
50812,Circuit royal,Lengsa,Los Angeles Valiant,Brigitte
50827,Circuit royal,Lengsa,Los Angeles Valiant,Lucio
50861,Circuit royal,SASIN,Los Angeles Valiant,Orisa
50865,Circuit royal,SASIN,Los Angeles Valiant,Winston
50877,Circuit royal,SASIN,Los Angeles Valiant,Zarya
50913,Circuit royal,Creative,Seoul Dynasty,Zenyatta
50954,Circuit royal,Fits,Seoul Dynasty,Sombra
50955,Circuit royal,Fits,Seoul Dynasty,Widowmaker
50983,Circuit royal,Profit,Seoul Dynasty,Ashe
51010,Circuit royal,Profit,Seoul Dynasty,Genji
51034,Circuit royal,Profit,Seoul Dynasty,Pharah
51058,Circuit royal,Vindaim,Seoul Dynasty,Brigitte
51076,Circuit royal,Vindaim,Seoul Dynasty,Mercy
51119,Circuit royal,smurf,Seoul Dynasty,Sigma
51149,King's Row,Becky,Los Angeles Valiant,Echo
51174,King's Row,Becky,Los Angeles Valiant,Genji
51180,King's Row,Becky,Los Angeles Valiant,Reaper
51199,King's Row,Becky,Los Angeles Valiant,Sombra
51230,King's Row,ColdesT,Los Angeles Valiant,Ana
51274,King's Row,Diya,Los Angeles Valiant,Soldier: 76
51295,King's Row,Diya,Los Angeles Valiant,Widowmaker
51312,King's Row,Lengsa,Los Angeles Valiant,Brigitte
51333,King's Row,Lengsa,Los Angeles Valiant,Lucio
