,esports_match_id,map_name,map_type,player_name,team_name,hero_name
30541,38988,New Queen Street,push,Hanbin,Dallas Fuel,Zarya
30571,38988,New Queen Street,push,SP9RK1E,Dallas Fuel,Genji
30592,38988,New Queen Street,push,SP9RK1E,Dallas Fuel,Tracer
30622,38988,New Queen Street,push,ANS,Los Angeles Gladiators,Soldier: 76
30661,38988,New Queen Street,push,FunnyAstro,Los Angeles Gladiators,Lucio
30693,38988,New Queen Street,push,Reiner,Los Angeles Gladiators,Doomfist
30719,38988,New Queen Street,push,Reiner,Los Angeles Gladiators,Winston
30744,38988,New Queen Street,push,kevster,Los Angeles Gladiators,Echo
30766,38988,New Queen Street,push,kevster,Los Angeles Gladiators,Tracer
30802,38988,New Queen Street,push,shu,Los Angeles Gladiators,Ana
30842,38989,New Queen Street,push,Flora,New York Excelsior,Soldier: 76
30872,38989,New Queen Street,push,GangNamJin,New York Excelsior,Lucio
30912,38989,New Queen Street,push,Kellan,New York Excelsior,Winston
30947,38989,New Queen Street,push,Myunb0ng,New York Excelsior,Ana
30981,38989,New Queen Street,push,Yaki,New York Excelsior,Tracer
31014,38989,New Queen Street,push,Aspire,Vancouver Titans,Tracer
31044,38989,New Queen Street,push,False,Vancouver Titans,Winston
31088,38989,New Queen Street,push,Masaa,Vancouver Titans,Lucio
31126,38989,New Queen Street,push,Skairipa,Vancouver Titans,Ana
31162,38989,New Queen Street,push,sHockWave,Vancouver Titans,Soldier: 76
31194,38989,Watchpoint: Gibraltar,payload,Flora,New York Excelsior,Tracer
31208,38989,Watchpoint: Gibraltar,payload,Flora,New York Excelsior,Widowmaker
31243,38989,Watchpoint: Gibraltar,payload,GangNamJin,New York Excelsior,Brigitte
31269,38989,Watchpoint: Gibraltar,payload,Kellan,New York Excelsior,Winston
31305,38989,Watchpoint: Gibraltar,payload,Myunb0ng,New York Excelsior,Ana
31336,38989,Watchpoint: Gibraltar,payload,Yaki,New York Excelsior,Genji
31369,38989,Watchpoint: Gibraltar,payload,Aspire,Vancouver Titans,Tracer
31398,38989,Watchpoint: Gibraltar,payload,False,Vancouver Titans,Roadhog
31409,38989,Watchpoint: Gibraltar,payload,False,Vancouver Titans,Winston
31435,38989,Watchpoint: Gibraltar,payload,Masaa,Vancouver Titans,Brigitte
31451,38989,Watchpoint: Gibraltar,payload,Masaa,Vancouver Titans,Lucio
31486,38989,Watchpoint: Gibraltar,payload,Skairipa,Vancouver Titans,Ana
31521,38989,Watchpoint: Gibraltar,payload,sHockWave,Vancouver Titans,Widowmaker
31553,38989,Eichenwalde,hybrid,Flora,New York Excelsior,Soldier: 76
31589,38989,Eichenwalde,hybrid,GangNamJin,New York Excelsior,Brigitte
31607,38989,Eichenwalde,hybrid,GangNamJin,New York Excelsior,Lucio
31643,38989,Eichenwalde,hybrid,Kellan,New York Excelsior,Winston
31680,38989,Eichenwalde,hybrid,Myunb0ng,New York Excelsior,Ana
31721,38989,Eichenwalde,hybrid,Yaki,New York Excelsior,Genji
31741,38989,Eichenwalde,hybrid,Yaki,New York Excelsior,Tracer
31770,38989,Eichenwalde,hybrid,Aspire,Vancouver Titans,Tracer
31799,38989,Eichenwalde,hybrid,Aspire,Vancouver Titans,Widowmaker
31811,38989,Eichenwalde,hybrid,False,Vancouver Titans,Winston
31854,38989,Eichenwalde,hybrid,Masaa,Vancouver Titans,Lucio
31891,38989,Eichenwalde,hybrid,Skairipa,Vancouver Titans,Ana
31935,38989,Eichenwalde,hybrid,sHockWave,Vancouver Titans,Echo
31949,38989,Eichenwalde,hybrid,sHockWave,Vancouver Titans,Soldier: 76
31978,38989,Lijiang Tower,control,Flora,New York Excelsior,Reaper
31991,38989,Lijiang Tower,control,Flora,New York Excelsior,Soldier: 76
32032,38989,Lijiang Tower,control,GangNamJin,New York Excelsior,Lucio
32075,38989,Lijiang Tower,control,Kellan,New York Excelsior,Winston
32117,38989,Lijiang Tower,control,Myunb0ng,New York Excelsior,Ana
32155,38989,Lijiang Tower,control,Yaki,New York Excelsior,Genji
32185,38989,Lijiang Tower,control,Yaki,New York Excelsior,Symmetra
32195,38989,Lijiang Tower,control,Yaki,New York Excelsior,Tracer
32230,38989,Lijiang Tower,control,Aspire,Vancouver Titans,Tracer
