,esports_match_id,map_name,map_type,player_name,team_name,hero_name
28914,39058,Watchpoint: Gibraltar,payload,Superich,Hangzhou Spark,Lucio
28958,39058,Watchpoint: Gibraltar,payload,irony,Hangzhou Spark,Brigitte
28986,39058,Watchpoint: Gibraltar,payload,shy,Hangzhou Spark,Sojourn
29014,39058,Watchpoint: Gibraltar,payload,IZaYaKI,Shanghai Dragons,Ana
29022,39058,Watchpoint: Gibraltar,payload,IZaYaKI,Shanghai Dragons,Brigitte
29047,39058,Watchpoint: Gibraltar,payload,LIP,Shanghai Dragons,Sojourn
29070,39058,Watchpoint: Gibraltar,payload,LIP,Shanghai Dragons,Widowmaker
29087,39058,Watchpoint: Gibraltar,payload,LeeJaeGon,Shanghai Dragons,Lucio
29126,39058,Watchpoint: Gibraltar,payload,Void,Shanghai Dragons,Junker Queen
29163,39058,Watchpoint: Gibraltar,payload,WhoRu,Shanghai Dragons,Genji
29188,39058,Watchpoint: Gibraltar,payload,WhoRu,Shanghai Dragons,Hanzo
29205,39059,Oasis,control,Becky,Los Angeles Valiant,Genji
29228,39059,Oasis,control,Becky,Los Angeles Valiant,Symmetra
29248,39059,Oasis,control,Diya,Los Angeles Valiant,Junker Queen
29282,39059,Oasis,control,Ezhan,Los Angeles Valiant,Ashe
29305,39059,Oasis,control,Ezhan,Los Angeles Valiant,Sojourn
29325,39059,Oasis,control,Ezhan,Los Angeles Valiant,Symmetra
29344,39059,Oasis,control,Lengsa,Los Angeles Valiant,Lucio
29384,39059,Oasis,control,SASIN,Los Angeles Valiant,Brigitte
29410,39059,Oasis,control,AimGod,Seoul Infernal,Brigitte
29442,39059,Oasis,control,FIXA,Seoul Infernal,Lucio
29473,39059,Oasis,control,Fury,Seoul Infernal,Junker Queen
29515,39059,Oasis,control,ZEST,Seoul Infernal,Genji
29546,39059,Oasis,control,carpe,Seoul Infernal,Sojourn
29580,39059,Midtown,hybrid,Becky,Los Angeles Valiant,Genji
29602,39059,Midtown,hybrid,Becky,Los Angeles Valiant,Junkrat
29623,39059,Midtown,hybrid,Diya,Los Angeles Valiant,Junker Queen
29664,39059,Midtown,hybrid,Ezhan,Los Angeles Valiant,Ashe
29693,39059,Midtown,hybrid,Ezhan,Los Angeles Valiant,Echo
29695,39059,Midtown,hybrid,Ezhan,Los Angeles Valiant,Sojourn
29717,39059,Midtown,hybrid,Ezhan,Los Angeles Valiant,Tracer
29746,39059,Midtown,hybrid,Lengsa,Los Angeles Valiant,Lucio
29784,39059,Midtown,hybrid,SASIN,Los Angeles Valiant,Ana
29786,39059,Midtown,hybrid,SASIN,Los Angeles Valiant,Brigitte
29813,39059,Midtown,hybrid,AimGod,Seoul Infernal,Brigitte
29846,39059,Midtown,hybrid,FIXA,Seoul Infernal,Ana
29852,39059,Midtown,hybrid,FIXA,Seoul Infernal,Lucio
29896,39059,Midtown,hybrid,Fury,Seoul Infernal,Junker Queen
29929,39059,Midtown,hybrid,ZEST,Seoul Infernal,Genji
