,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
5008,39108,Colosseo,push,FunnyAstro,Los Angeles Gladiators,Lucio,Summer Showdown: Qualifiers
5044,39108,Colosseo,push,Reiner,Los Angeles Gladiators,Junker Queen,Summer Showdown: Qualifiers
5085,39108,Colosseo,push,kevster,Los Angeles Gladiators,Genji,Summer Showdown: Qualifiers
5111,39108,Colosseo,push,kevster,Los Angeles Gladiators,Tracer,Summer Showdown: Qualifiers
5137,39108,Colosseo,push,skewed,Los Angeles Gladiators,Brigitte,Summer Showdown: Qualifiers
5164,39108,Ilios,control,ChiYo,Dallas Fuel,Lucio,Summer Showdown: Qualifiers
5201,39108,Ilios,control,Doha,Dallas Fuel,Genji,Summer Showdown: Qualifiers
5225,39108,Ilios,control,Doha,Dallas Fuel,Symmetra,Summer Showdown: Qualifiers
5242,39108,Ilios,control,Edison,Dallas Fuel,Sojourn,Summer Showdown: Qualifiers
5274,39108,Ilios,control,Fielder,Dallas Fuel,Brigitte,Summer Showdown: Qualifiers
5306,39108,Ilios,control,Hanbin,Dallas Fuel,Junker Queen,Summer Showdown: Qualifiers
5346,39108,Ilios,control,ANS,Los Angeles Gladiators,Ashe,Summer Showdown: Qualifiers
5365,39108,Ilios,control,ANS,Los Angeles Gladiators,Tracer,Summer Showdown: Qualifiers
5394,39108,Ilios,control,FunnyAstro,Los Angeles Gladiators,Lucio,Summer Showdown: Qualifiers
5438,39108,Ilios,control,Reiner,Los Angeles Gladiators,Junker Queen,Summer Showdown: Qualifiers
5479,39108,Ilios,control,kevster,Los Angeles Gladiators,Genji,Summer Showdown: Qualifiers
5515,39108,Ilios,control,skewed,Los Angeles Gladiators,Brigitte,Summer Showdown: Qualifiers
5542,39109,Busan,control,Hawk,Atlanta Reign,Junker Queen,Summer Showdown: Qualifiers
5565,39109,Busan,control,Kai,Atlanta Reign,Sojourn,Summer Showdown: Qualifiers
5595,39109,Busan,control,Ojee,Atlanta Reign,Lucio,Summer Showdown: Qualifiers
5636,39109,Busan,control,UltraViolet,Atlanta Reign,Brigitte,Summer Showdown: Qualifiers
5664,39109,Busan,control,nero,Atlanta Reign,Genji,Summer Showdown: Qualifiers
5704,39109,Busan,control,Faith,Boston Uprising,Lucio,Summer Showdown: Qualifiers
5748,39109,Busan,control,MCD,Boston Uprising,Brigitte,Summer Showdown: Qualifiers
5782,39109,Busan,control,Valentine,Boston Uprising,Genji,Summer Showdown: Qualifiers
5804,39109,Busan,control,Valentine,Boston Uprising,Symmetra,Summer Showdown: Qualifiers
5828,39109,Busan,control,Victoria,Boston Uprising,Sojourn,Summer Showdown: Qualifiers
5872,39109,Busan,control,punk,Boston Uprising,Junker Queen,Summer Showdown: Qualifiers
5912,39109,Paraíso,hybrid,Hawk,Atlanta Reign,Junker Queen,Summer Showdown: Qualifiers
5951,39109,Paraíso,hybrid,Kai,Atlanta Reign,Sojourn,Summer Showdown: Qualifiers
5977,39109,Paraíso,hybrid,Kai,Atlanta Reign,Widowmaker,Summer Showdown: Qualifiers
5998,39109,Paraíso,hybrid,Ojee,Atlanta Reign,Lucio,Summer Showdown: Qualifiers
6040,39109,Paraíso,hybrid,UltraViolet,Atlanta Reign,Brigitte,Summer Showdown: Qualifiers
6068,39109,Paraíso,hybrid,nero,Atlanta Reign,Genji,Summer Showdown: Qualifiers
6090,39109,Paraíso,hybrid,nero,Atlanta Reign,Mei,Summer Showdown: Qualifiers
6126,39109,Paraíso,hybrid,Faith,Boston Uprising,Lucio,Summer Showdown: Qualifiers
6170,39109,Paraíso,hybrid,MCD,Boston Uprising,Brigitte,Summer Showdown: Qualifiers
6195,39109,Paraíso,hybrid,Valentine,Boston Uprising,Genji,Summer Showdown: Qualifiers
6228,39109,Paraíso,hybrid,Victoria,Boston Uprising,Sojourn,Summer Showdown: Qualifiers
6257,39109,Paraíso,hybrid,punk,Boston Uprising,Junker Queen,Summer Showdown: Qualifiers
6288,39109,Watchpoint: Gibraltar,payload,Hawk,Atlanta Reign,Junker Queen,Summer Showdown: Qualifiers
6316,39109,Watchpoint: Gibraltar,payload,Kai,Atlanta Reign,Ashe,Summer Showdown: Qualifiers
6360,39109,Watchpoint: Gibraltar,payload,Ojee,Atlanta Reign,Lucio,Summer Showdown: Qualifiers
6399,39109,Watchpoint: Gibraltar,payload,UltraViolet,Atlanta Reign,Brigitte,Summer Showdown: Qualifiers
6433,39109,Watchpoint: Gibraltar,payload,nero,Atlanta Reign,Genji,Summer Showdown: Qualifiers
