,esports_match_id,map_name,map_type,player_name,team_name,hero_name,tournament_title
4591,38973,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Roadhog,Kickoff Clash: Qualifiers
4612,38973,Watchpoint: Gibraltar,payload,Someone,Florida Mayhem,Winston,Kickoff Clash: Qualifiers
4647,38973,Colosseo,push,Hawk,Atlanta Reign,Doomfist,Kickoff Clash: Qualifiers
4686,38973,Colosseo,push,Kai,Atlanta Reign,Soldier: 76,Kickoff Clash: Qualifiers
4719,38973,Colosseo,push,Ojee,Atlanta Reign,Lucio,Kickoff Clash: Qualifiers
4756,38973,Colosseo,push,UltraViolet,Atlanta Reign,Ana,Kickoff Clash: Qualifiers
4804,38973,Colosseo,push,nero,Atlanta Reign,Genji,Kickoff Clash: Qualifiers
4837,38973,Colosseo,push,Anamo,Florida Mayhem,Lucio,Kickoff Clash: Qualifiers
4867,38973,Colosseo,push,Checkmate,Florida Mayhem,Genji,Kickoff Clash: Qualifiers
4902,38973,Colosseo,push,Hydron,Florida Mayhem,Soldier: 76,Kickoff Clash: Qualifiers
4935,38973,Colosseo,push,SirMajed,Florida Mayhem,Ana,Kickoff Clash: Qualifiers
4969,38973,Colosseo,push,Someone,Florida Mayhem,Winston,Kickoff Clash: Qualifiers
5009,38975,Lijiang Tower,control,Admiral,London Spitfire,Lucio,Kickoff Clash: Qualifiers
5049,38975,Lijiang Tower,control,Backbone,London Spitfire,Mei,Kickoff Clash: Qualifiers
5070,38975,Lijiang Tower,control,Backbone,London Spitfire,Tracer,Kickoff Clash: Qualifiers
5092,38975,Lijiang Tower,control,Hadi,London Spitfire,Reinhardt,Kickoff Clash: Qualifiers
5126,38975,Lijiang Tower,control,Landon,London Spitfire,Baptiste,Kickoff Clash: Qualifiers
5162,38975,Lijiang Tower,control,SparkR,London Spitfire,Soldier: 76,Kickoff Clash: Qualifiers
5183,38975,Lijiang Tower,control,SparkR,London Spitfire,Symmetra,Kickoff Clash: Qualifiers
5202,38975,Lijiang Tower,control,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
5245,38975,Lijiang Tower,control,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
5289,38975,Lijiang Tower,control,Proper,San Francisco Shock,Soldier: 76,Kickoff Clash: Qualifiers
5326,38975,Lijiang Tower,control,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
5363,38975,Lijiang Tower,control,s9mm,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
5395,38975,Eichenwalde,hybrid,Admiral,London Spitfire,Lucio,Kickoff Clash: Qualifiers
5437,38975,Eichenwalde,hybrid,Backbone,London Spitfire,Mei,Kickoff Clash: Qualifiers
5464,38975,Eichenwalde,hybrid,Backbone,London Spitfire,Tracer,Kickoff Clash: Qualifiers
5481,38975,Eichenwalde,hybrid,Hadi,London Spitfire,Reinhardt,Kickoff Clash: Qualifiers
5510,38975,Eichenwalde,hybrid,Landon,London Spitfire,Baptiste,Kickoff Clash: Qualifiers
5539,38975,Eichenwalde,hybrid,SparkR,London Spitfire,Soldier: 76,Kickoff Clash: Qualifiers
5576,38975,Eichenwalde,hybrid,Coluge,San Francisco Shock,Reinhardt,Kickoff Clash: Qualifiers
5589,38975,Eichenwalde,hybrid,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
5629,38975,Eichenwalde,hybrid,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
5664,38975,Eichenwalde,hybrid,Proper,San Francisco Shock,Soldier: 76,Kickoff Clash: Qualifiers
5685,38975,Eichenwalde,hybrid,Proper,San Francisco Shock,Widowmaker,Kickoff Clash: Qualifiers
5702,38975,Eichenwalde,hybrid,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
5747,38975,Eichenwalde,hybrid,s9mm,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
5784,38975,Watchpoint: Gibraltar,payload,Admiral,London Spitfire,Lucio,Kickoff Clash: Qualifiers
5826,38975,Watchpoint: Gibraltar,payload,Backbone,London Spitfire,Genji,Kickoff Clash: Qualifiers
5843,38975,Watchpoint: Gibraltar,payload,Backbone,London Spitfire,Widowmaker,Kickoff Clash: Qualifiers
5873,38975,Watchpoint: Gibraltar,payload,Landon,London Spitfire,Ana,Kickoff Clash: Qualifiers
5911,38975,Watchpoint: Gibraltar,payload,Poko,London Spitfire,D.Va,Kickoff Clash: Qualifiers
5929,38975,Watchpoint: Gibraltar,payload,Poko,London Spitfire,Zarya,Kickoff Clash: Qualifiers
5964,38975,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Soldier: 76,Kickoff Clash: Qualifiers
5983,38975,Watchpoint: Gibraltar,payload,SparkR,London Spitfire,Widowmaker,Kickoff Clash: Qualifiers
6015,38975,Watchpoint: Gibraltar,payload,Coluge,San Francisco Shock,Winston,Kickoff Clash: Qualifiers
6050,38975,Watchpoint: Gibraltar,payload,FiNN,San Francisco Shock,Ana,Kickoff Clash: Qualifiers
6094,38975,Watchpoint: Gibraltar,payload,Kilo,San Francisco Shock,Widowmaker,Kickoff Clash: Qualifiers
6128,38975,Watchpoint: Gibraltar,payload,Proper,San Francisco Shock,Genji,Kickoff Clash: Qualifiers
6172,38975,Watchpoint: Gibraltar,payload,Viol2t,San Francisco Shock,Lucio,Kickoff Clash: Qualifiers
6210,38974,Ilios,control,Crimzo,Boston Uprising,Ana,Kickoff Clash: Qualifiers
6240,38974,Ilios,control,Crimzo,Boston Uprising,Lucio,Kickoff Clash: Qualifiers
6280,38974,Ilios,control,Faith,Boston Uprising,Brigitte,Kickoff Clash: Qualifiers
6299,38974,Ilios,control,Faith,Boston Uprising,Lucio,Kickoff Clash: Qualifiers
6333,38974,Ilios,control,Faith,Boston Uprising,Mercy,Kickoff Clash: Qualifiers
6358,38974,Ilios,control,STRIKER,Boston Uprising,Reaper,Kickoff Clash: Qualifiers
6369,38974,Ilios,control,STRIKER,Boston Uprising,Soldier: 76,Kickoff Clash: Qualifiers
6398,38974,Ilios,control,Valentine,Boston Uprising,Echo,Kickoff Clash: Qualifiers
6421,38974,Ilios,control,Valentine,Boston Uprising,Genji,Kickoff Clash: Qualifiers
6455,38974,Ilios,control,punk,Boston Uprising,D.Va,Kickoff Clash: Qualifiers
6476,38974,Ilios,control,punk,Boston Uprising,Doomfist,Kickoff Clash: Qualifiers
6496,38974,Ilios,control,punk,Boston Uprising,Zarya,Kickoff Clash: Qualifiers
6520,38974,Ilios,control,Aspire,Vancouver Titans,Soldier: 76,Kickoff Clash: Qualifiers
6539,38974,Ilios,control,Aspire,Vancouver Titans,Widowmaker,Kickoff Clash: Qualifiers
6570,38974,Ilios,control,False,Vancouver Titans,D.Va,Kickoff Clash: Qualifiers
6588,38974,Ilios,control,False,Vancouver Titans,Reinhardt,Kickoff Clash: Qualifiers
6599,38974,Ilios,control,False,Vancouver Titans,Winston,Kickoff Clash: Qualifiers
6613,38974,Ilios,control,False,Vancouver Titans,Zarya,Kickoff Clash: Qualifiers
6644,38974,Ilios,control,Masaa,Vancouver Titans,Lucio,Kickoff Clash: Qualifiers
6681,38974,Ilios,control,Seicoe,Vancouver Titans,Echo,Kickoff Clash: Qualifiers
6698,38974,Ilios,control,Seicoe,Vancouver Titans,Genji,Kickoff Clash: Qualifiers
6713,38974,Ilios,control,Seicoe,Vancouver Titans,Mei,Kickoff Clash: Qualifiers
6744,38974,Ilios,control,Skairipa,Vancouver Titans,Ana,Kickoff Clash: Qualifiers
6772,38974,Ilios,control,Skairipa,Vancouver Titans,Baptiste,Kickoff Clash: Qualifiers
6807,38974,Midtown,hybrid,Faith,Boston Uprising,Baptiste,Kickoff Clash: Qualifiers
6827,38974,Midtown,hybrid,Faith,Boston Uprising,Lucio,Kickoff Clash: Qualifiers
6862,38974,Midtown,hybrid,MCD,Boston Uprising,Ana,Kickoff Clash: Qualifiers
6894,38974,Midtown,hybrid,MCD,Boston Uprising,Zenyatta,Kickoff Clash: Qualifiers
6927,38974,Midtown,hybrid,STRIKER,Boston Uprising,Soldier: 76,Kickoff Clash: Qualifiers
6964,38974,Midtown,hybrid,Valentine,Boston Uprising,Genji,Kickoff Clash: Qualifiers
6978,38974,Midtown,hybrid,Valentine,Boston Uprising,Hanzo,Kickoff Clash: Qualifiers
6981,38974,Midtown,hybrid,Valentine,Boston Uprising,Tracer,Kickoff Clash: Qualifiers
7018,38974,Midtown,hybrid,punk,Boston Uprising,D.Va,Kickoff Clash: Qualifiers
7032,38974,Midtown,hybrid,punk,Boston Uprising,Doomfist,Kickoff Clash: Qualifiers
