,esports_match_id,map_name,map_type,player_name,team_name,hero_name
207343,39154,Midtown,hybrid,kevster,Los Angeles Gladiators,Tracer
207364,39154,Midtown,hybrid,kevster,Los Angeles Gladiators,Widowmaker
207383,39154,Midtown,hybrid,shu,Los Angeles Gladiators,Ana
207408,39154,Midtown,hybrid,shu,Los Angeles Gladiators,Lucio
207423,39154,Midtown,hybrid,skewed,Los Angeles Gladiators,Zenyatta
207461,39154,Dorado,payload,AlphaYi,Hangzhou Spark,Tracer
207485,39154,Dorado,payload,AlphaYi,Hangzhou Spark,Widowmaker
207507,39154,Dorado,payload,Guxue,Hangzhou Spark,Winston
207559,39154,Dorado,payload,Superich,Hangzhou Spark,Brigitte
207579,39154,Dorado,payload,Superich,Hangzhou Spark,Mercy
207597,39154,Dorado,payload,irony,Hangzhou Spark,Ana
207627,39154,Dorado,payload,irony,Hangzhou Spark,Lucio
207660,39154,Dorado,payload,shy,Hangzhou Spark,Sojourn
207694,39154,Dorado,payload,ANS,Los Angeles Gladiators,Ashe
207711,39154,Dorado,payload,ANS,Los Angeles Gladiators,Widowmaker
207755,39154,Dorado,payload,Reiner,Los Angeles Gladiators,Winston
207787,39154,Dorado,payload,Reiner,Los Angeles Gladiators,Wrecking Ball
207811,39154,Dorado,payload,kevster,Los Angeles Gladiators,Genji
207829,39154,Dorado,payload,kevster,Los Angeles Gladiators,Hanzo
207831,39154,Dorado,payload,kevster,Los Angeles Gladiators,Tracer
207864,39154,Dorado,payload,shu,Los Angeles Gladiators,Ana
207904,39154,Dorado,payload,skewed,Los Angeles Gladiators,Lucio
207916,39154,Dorado,payload,skewed,Los Angeles Gladiators,Zenyatta
207961,39154,Colosseo,push,AlphaYi,Hangzhou Spark,Tracer
207996,39154,Colosseo,push,BERNAR,Hangzhou Spark,Doomfist
208007,39154,Colosseo,push,BERNAR,Hangzhou Spark,Wrecking Ball
208031,39154,Colosseo,push,BERNAR,Hangzhou Spark,Zarya
208067,39154,Colosseo,push,Superich,Hangzhou Spark,Brigitte
208092,39154,Colosseo,push,irony,Hangzhou Spark,Ana
208114,39154,Colosseo,push,irony,Hangzhou Spark,Zenyatta
208150,39154,Colosseo,push,shy,Hangzhou Spark,Sojourn
208185,39154,Colosseo,push,FunnyAstro,Los Angeles Gladiators,Lucio
208224,39154,Colosseo,push,Patiphan,Los Angeles Gladiators,Sojourn
208262,39154,Colosseo,push,Reiner,Los Angeles Gladiators,Doomfist
208283,39154,Colosseo,push,Reiner,Los Angeles Gladiators,Winston
208314,39154,Colosseo,push,kevster,Los Angeles Gladiators,Tracer
208353,39154,Colosseo,push,shu,Los Angeles Gladiators,Ana
208395,39154,Ilios,control,AlphaYi,Hangzhou Spark,Echo
208436,39154,Ilios,control,BERNAR,Hangzhou Spark,Wrecking Ball
208481,39154,Ilios,control,Superich,Hangzhou Spark,Brigitte
208499,39154,Ilios,control,Superich,Hangzhou Spark,Lucio
208527,39154,Ilios,control,irony,Hangzhou Spark,Ana
208556,39154,Ilios,control,irony,Hangzhou Spark,Zenyatta
208589,39154,Ilios,control,shy,Hangzhou Spark,Symmetra
208594,39154,Ilios,control,shy,Hangzhou Spark,Tracer
208628,39154,Ilios,control,FunnyAstro,Los Angeles Gladiators,Lucio
208667,39154,Ilios,control,Patiphan,Los Angeles Gladiators,Genji
208690,39154,Ilios,control,Patiphan,Los Angeles Gladiators,Sombra
208710,39154,Ilios,control,Reiner,Los Angeles Gladiators,Winston
208739,39154,Ilios,control,Reiner,Los Angeles Gladiators,Wrecking Ball
208774,39154,Ilios,control,kevster,Los Angeles Gladiators,Tracer
208817,39154,Ilios,control,shu,Los Angeles Gladiators,Ana
208841,39154,Ilios,control,shu,Los Angeles Gladiators,Moira
208869,39140,Oasis,control,Coluge,San Francisco Shock,D.Va
208888,39140,Oasis,control,Coluge,San Francisco Shock,Doomfist
208907,39140,Oasis,control,Coluge,San Francisco Shock,Roadhog
208934,39140,Oasis,control,FiNN,San Francisco Shock,Zenyatta
208973,39140,Oasis,control,Kilo,San Francisco Shock,Ashe
208999,39140,Oasis,control,Kilo,San Francisco Shock,Sojourn
209035,39140,Oasis,control,Proper,San Francisco Shock,Symmetra
209041,39140,Oasis,control,Proper,San Francisco Shock,Tracer
209071,39140,Oasis,control,Viol2t,San Francisco Shock,Ana
209098,39140,Oasis,control,Viol2t,San Francisco Shock,Baptiste
209116,39140,Oasis,control,Viol2t,San Francisco Shock,Brigitte
209146,39140,Oasis,control,Fate,Shanghai Dragons,Doomfist
209171,39140,Oasis,control,Fate,Shanghai Dragons,Wrecking Ball
209200,39140,Oasis,control,Fleta,Shanghai Dragons,Echo
209211,39140,Oasis,control,Fleta,Shanghai Dragons,Symmetra
209216,39140,Oasis,control,Fleta,Shanghai Dragons,Tracer
209245,39140,Oasis,control,IZaYaKI,Shanghai Dragons,Ana
209270,39140,Oasis,control,IZaYaKI,Shanghai Dragons,Zenyatta
209303,39140,Oasis,control,LIP,Shanghai Dragons,Sojourn
209324,39140,Oasis,control,LIP,Shanghai Dragons,Symmetra
209332,39140,Oasis,control,LIP,Shanghai Dragons,Tracer
209358,39140,Oasis,control,LeeJaeGon,Shanghai Dragons,Brigitte
209382,39140,Oasis,control,LeeJaeGon,Shanghai Dragons,Lucio
209397,39140,Eichenwalde,hybrid,Coluge,San Francisco Shock,D.Va
209424,39140,Eichenwalde,hybrid,Coluge,San Francisco Shock,Doomfist
209445,39140,Eichenwalde,hybrid,FiNN,San Francisco Shock,Baptiste
209448,39140,Eichenwalde,hybrid,FiNN,San Francisco Shock,Zenyatta
209491,39140,Eichenwalde,hybrid,Proper,San Francisco Shock,Tracer
209511,39140,Eichenwalde,hybrid,Proper,San Francisco Shock,Widowmaker
209528,39140,Eichenwalde,hybrid,Viol2t,San Francisco Shock,Ana
209554,39140,Eichenwalde,hybrid,Viol2t,San Francisco Shock,Zenyatta
209570,39140,Eichenwalde,hybrid,s9mm,San Francisco Shock,Echo
209585,39140,Eichenwalde,hybrid,s9mm,San Francisco Shock,Sojourn
209620,39140,Eichenwalde,hybrid,Fate,Shanghai Dragons,Wrecking Ball
209653,39140,Eichenwalde,hybrid,Fleta,Shanghai Dragons,Tracer
