,map_name,player_name,team_name,hero_name
157629,Circuit royal,Lastro,Houston Outlaws,Zenyatta
157664,Circuit royal,MER1T,Houston Outlaws,Sojourn
157691,Circuit royal,PELICAN,Houston Outlaws,Genji
157715,Circuit royal,PELICAN,Houston Outlaws,Tracer
157738,Circuit royal,Piggy,Houston Outlaws,Sigma
157772,Circuit royal,ir1s,Houston Outlaws,Ana
157796,Circuit royal,ir1s,Houston Outlaws,Baptiste
157834,Circuit royal,Flora,New York Excelsior,Tracer
157853,Circuit royal,Flora,New York Excelsior,Widowmaker
157889,Circuit royal,GangNamJin,New York Excelsior,Zenyatta
157926,Circuit royal,Kellan,New York Excelsior,Sigma
157950,Circuit royal,Myunb0ng,New York Excelsior,Ana
157993,Circuit royal,Yaki,New York Excelsior,Genji
158029,King's Row,Lastro,Houston Outlaws,Baptiste
158041,King's Row,Lastro,Houston Outlaws,Lucio
158045,King's Row,Lastro,Houston Outlaws,Zenyatta
158076,King's Row,MER1T,Houston Outlaws,Sojourn
158110,King's Row,PELICAN,Houston Outlaws,Echo
158149,King's Row,Piggy,Houston Outlaws,Doomfist
158156,King's Row,Piggy,Houston Outlaws,Sigma
158182,King's Row,ir1s,Houston Outlaws,Ana
158219,King's Row,Flora,New York Excelsior,Sojourn
158245,King's Row,Flora,New York Excelsior,Widowmaker
158268,King's Row,GangNamJin,New York Excelsior,Zenyatta
158307,King's Row,Kellan,New York Excelsior,Doomfist
158348,King's Row,Myunb0ng,New York Excelsior,Ana
158397,King's Row,Yaki,New York Excelsior,Genji
158434,Oasis,Danteh,Houston Outlaws,Doomfist
158473,Oasis,Lastro,Houston Outlaws,Zenyatta
158507,Oasis,MER1T,Houston Outlaws,Sojourn
158546,Oasis,PELICAN,Houston Outlaws,Echo
158568,Oasis,PELICAN,Houston Outlaws,Genji
158579,Oasis,PELICAN,Houston Outlaws,Symmetra
158583,Oasis,PELICAN,Houston Outlaws,Tracer
158617,Oasis,ir1s,Houston Outlaws,Ana
158661,Oasis,Flora,New York Excelsior,Symmetra
158666,Oasis,Flora,New York Excelsior,Tracer
158697,Oasis,GangNamJin,New York Excelsior,Zenyatta
158735,Oasis,Kellan,New York Excelsior,Doomfist
158761,Oasis,Myunb0ng,New York Excelsior,Ana
158796,Oasis,Yaki,New York Excelsior,Echo
158818,Oasis,Yaki,New York Excelsior,Genji
158840,Colosseo,Danteh,Houston Outlaws,Doomfist
158870,Colosseo,Lastro,Houston Outlaws,Zenyatta
158907,Colosseo,MER1T,Houston Outlaws,Sojourn
158937,Colosseo,PELICAN,Houston Outlaws,Echo
158961,Colosseo,PELICAN,Houston Outlaws,Genji
158978,Colosseo,PELICAN,Houston Outlaws,Tracer
159002,Colosseo,ir1s,Houston Outlaws,Ana
159032,Colosseo,ir1s,Houston Outlaws,Lucio
159047,Colosseo,Flora,New York Excelsior,Sojourn
159081,Colosseo,GangNamJin,New York Excelsior,Zenyatta
159117,Colosseo,Kellan,New York Excelsior,Doomfist
159139,Colosseo,Myunb0ng,New York Excelsior,Ana
159172,Colosseo,Yaki,New York Excelsior,Genji
159196,Colosseo,Yaki,New York Excelsior,Tracer
159229,Colosseo,FiNN,San Francisco Shock,Ana
159266,Colosseo,Proper,San Francisco Shock,Tracer
159304,Colosseo,Viol2t,San Francisco Shock,Zenyatta
159344,Colosseo,mikeyy,San Francisco Shock,Wrecking Ball
159383,Colosseo,s9mm,San Francisco Shock,Hanzo
159423,Colosseo,CH0R0NG,Toronto Defiant,Lucio
159462,Colosseo,Finale,Toronto Defiant,Tracer
159504,Colosseo,Heesu,Toronto Defiant,Hanzo
159523,Colosseo,Heesu,Toronto Defiant,Sojourn
159548,Colosseo,MuZe,Toronto Defiant,Doomfist
159591,Colosseo,Twilight,Toronto Defiant,Ana
159629,Dorado,FiNN,San Francisco Shock,Ana
